CNPJ,M300(132)
76.368.240/0001-05,"471.850,61"
76.494.806/0001-45,"49.968.159,78"
76.554.757/0001-99,"4.250.771,05"
76.600.188/0001-70,"6.712.283,29"
76.851.492/0001-90,"2.902.209,36"
77.689.032/0001-70,"3.078.213,44"
77.969.145/0001-20,"961.658,75"
78.647.633/0001-83,"419.121,32"
79.107.918/0001-94,"2.250.806,10"
79.135.760/0001-66,"7.623.804,76"
79.469.813/0001-85,"1.920.500,00"
79.845.830/0001-70,"2.587.658,54"
79.875.902/0001-21,"713.599,16"
80.242.720/0001-00,"4.444.254,94"
80.583.941/0001-34,"2.321.273,07"
80.592.488/0001-22,"1.288.390,13"
80.746.647/0001-04,"146.855,00"
80.830.334/0001-21,"5.982.071,13"
81.034.977/0001-21,"2.733.097,82"
81.057.994/0001-84,"278.999,29"
82.645.029/0001-95,"9.444.455,85"
82.916.503/0001-76,"5.002.648,32"
83.900.050/0001-52,"357.527,63"
87.185.468/0001-86,"1.614.911,13"
87.463.535/0001-87,"1.342.729,41"
87.519.237/0001-61,"1.557.524,43"
87.750.121/0001-39,"1.219.102,41"
87.978.771/0001-36,"235.636,67"
88.404.645/0001-30,"1.466.212,22"
89.294.565/0001-32,"3.051.603,34"
89.424.113/0001-28,"1.281.580,88"
89.972.988/0001-64,"175.919,63"
90.522.491/0001-23,"48.844,51"
90.705.690/0001-77,"2.779.033,76"
90.721.994/0001-28,"868.123,04"
90.985.672/0001-96,"36.977,44"
91.043.687/0001-06,"75.455,46"
91.050.377/0001-00,"40.286,51"
91.272.286/0001-10,"27.491,45"
91.400.051/0001-66,"77.404,42"
91.903.963/0001-50,"58.996,65"
91.903.989/0001-07,"241.661,14"
91.904.003/0001-05,"45.524,84"
91.904.029/0001-53,"48.247,80"
92.236.314/0001-06,"3.199.823,56"
93.088.367/0001-90,"2.002.137,29"
95.607.909/0001-19,"3.149.590,28"
00.001.172/0001-80,"576.083,20"
91.665.570/0001-56,"6.913,80"
